text,category
710.40 Debited ATM Card Maint Charge GST in your Ac XX1377 on 2024-01-21. .Avl BalRs 4972.56.,expense
4796.29 Debited ATM Card Maint Charge GST in your Ac XX1790 on 2024-03-04. .Avl BalRs 796.83.,expense
"Dear Customer, INR 189.83 has been credited to A/c XXXX48 on 08th May 2024, 12:00 AM, 12:54 AM via IMPS from Whitaker, Gomez and Baker. Current Balance: INR 7,454.57.",income
"INR 1862.51 credited to A/c XXXX44 on 09th May 2024, 12:00 AM via IMPS from Collins, Davies and Smith. Current Balance: INR 1,221.37.",income
120.18 Debited ATM Card Maint Charge GST in your Ac XX9707 on 2024-02-24. .Avl BalRs 2375.67.,expense
3000.30 Debited ATM Card Maint Charge GST in your Ac XX7976 on 2024-04-24. .Avl BalRs 1513.18.,expense
UPI -VPA (821)903-7783x3191@paytm linked to Bank a/c XX7744 debited Rs.5417.28 and credited to GB71AJIS99286675155514.ifsc.npci -Ref 288371237310,expense
"Sent Rs.7857.61 from SBI Bank AC X8990 to paytm3654386@paytm on 2024-01-28.UPI Ref 675815068189. Not you, http://www.stevens-johnson.com/",expense
"INR 368.82 credited to A/c XXXX34 on 02th May 2024, 12:00 AM via RTGS from Higgins-Stark. Current Balance: INR 8,924.03.",income
"Rs.3200.15 Credited to SB-xxx6273 AcBal:4173.67 CLRBal: 10,033.65 [953661] Jones Pine on 06th May 2024, 12:00 AM. Fernandez, Hill and Evans.",income
6728.43 Debited ATM Card Maint Charge GST in your Ac XX5632 on 2024-02-02. .Avl BalRs 8536.87.,expense
VPA 746-565-2191x988@paytm linked to Bank a/c XX5017 debited Rs.4453.04 and credited to GB82UTHJ18331205084810.ifsc.npci -Ref 786860708523,expense
"Sent Rs.6740.02 from Axis Bank AC X7133 to googlepay4153585@paytm on 2024-01-10.UPI Ref 296693464578. Not you, http://solomon.net/",expense
"INR 443.67 credited to A/c XXXX91 on 07th May 2024, 12:00 AM via RTGS from Booth, White and Benjamin. Current Balance: INR 2,476.42.",income
UPI -VPA (812)588-7979x75613@paytm linked to SBI a/c XX7845 debited Rs.5590.30 and credited to GB38YRFQ12208595515305.ifsc.npci -Ref 846625132219,expense
"Dear Customer, INR 107.81 has been credited to A/c XXXX92 on 09th May 2024, 12:00 AM, 01:56 PM via IMPS from Brooks-Gomez. Current Balance: INR 5,685.53.",income
VPA 882.989.9064x3831@paytm linked to SBI a/c XX5593 debited Rs.9921.56 and credited to GB03HNTC64185933072775.ifsc.npci -Ref 976420193211,expense
"Your salary of INR 25818.82 has been credited to A/c XXXX25 on 06th May 2024, 12:00 AM via RTGS from Gibson, Flores and Reyes. Current Balance: INR 9,297.36.",income
8928.02 Debited ATM Card Maint Charge GST in your Ac XX4924 on 2024-02-06. .Avl BalRs 1702.37.,expense
1685.42 Debited ATM Card Maint Charge GST in your Ac XX4216 on 2024-02-19. .Avl BalRs 8239.98.,expense
4685.63 Debited ATM Card Maint Charge GST in your Ac XX2726 on 2024-01-20. .Avl BalRs 1539.01.,expense
4726.68 Debited ATM Card Maint Charge GST in your Ac XX8590 on 2024-04-03. .Avl BalRs 324.51.,expense
VPA 5115484762@paytm linked to SBI a/c XX3550 debited Rs.3647.86 and credited to GB40DYBF08546512336754.ifsc.npci -Ref 513631855808,expense
"Sent Rs.1773.30 from SBI Bank AC X5238 to googlepay3102946@paytm on 2024-04-29.UPI Ref 627346930206. Not you, https://www.evans.com/",expense
"Sent Rs.974.27 from SBI Bank AC X9339 to phonepe9614878@paytm on 2024-02-01.UPI Ref 970513689411. Not you, https://www.watts.com/",expense
VPA 584-529-2054x6481@paytm linked to SBI a/c XX5536 debited Rs.1155.51 and credited to GB30IJXB39973407621697.ifsc.npci -Ref 971066272729,expense
933.27 Debited ATM Card Maint Charge GST in your Ac XX4952 on 2024-02-11. .Avl BalRs 2182.04.,expense
2657.96 Debited ATM Card Maint Charge GST in your Ac XX4259 on 2024-03-05. .Avl BalRs 5738.80.,expense
VPA 348.734.5724@paytm linked to HDFC a/c XX4399 debited Rs.8213.12 and credited to RJXT52037086686926.ifsc.npci -Ref 507471909010,expense
"Your salary of INR 14044.22 has been credited to A/c XXXX69 on 02th May 2024, 12:00 AM via RTGS from Miller-Lin. Current Balance: INR 5,643.19.",income
"INR 1432.02 credited to A/c XXXX97 on 03th May 2024, 12:00 AM via IMPS from Lee PLC. Current Balance: INR 7,586.38.",income
"Rs.1448.18 Credited to SB-xxx1255 AcBal:2197.58 CLRBal: 15,159.95 [427761] Nathan Circles on 12th May 2024, 12:00 AM. Rush Ltd.",income
VPA 450-860-1756x880@paytm linked to ICICI a/c XX2690 debited Rs.7352.14 and credited to GB76BVIN28471581424976.ifsc.npci -Ref 765676434640,expense
"Your salary of INR 21429.29 has been credited to A/c XXXX44 on 05th May 2024, 12:00 AM via UPI from Conway-Mahoney. Current Balance: INR 2,722.83.",income
UPI -VPA 639-986-4085x945@paytm linked to SBI a/c XX7051 debited Rs.5960.80 and credited to OVJS56204149595563.ifsc.npci -Ref 252240651689,expense
8953.33 Debited ATM Card Maint Charge GST in your Ac XX3649 on 2024-03-24. .Avl BalRs 9555.64.,expense
"Sent Rs.1974.20 from Axis Bank AC X9198 to phonepe9976823@paytm on 2024-01-13.UPI Ref 995088163789. Not you, https://www.meadows-smith.com/",expense
9008.15 Debited ATM Card Maint Charge GST in your Ac XX3840 on 2024-04-15. .Avl BalRs 6391.47.,expense
2826.45 Debited ATM Card Maint Charge GST in your Ac XX6986 on 2024-01-10. .Avl BalRs 8724.81.,expense
"Dear Customer, INR 341.82 has been credited to A/c XXXX46 on 06th May 2024, 12:00 AM, 01:24 AM via IMPS from Hughes, Jones and Gonzalez. Current Balance: INR 2,069.31.",income
VPA (378)511-5429x409@paytm linked to SBI a/c XX8248 debited Rs.7110.47 and credited to GB44XWUV78942379206414.ifsc.npci -Ref 118866558060,expense
1128.29 Debited ATM Card Maint Charge GST in your Ac XX7955 on 2024-01-19. .Avl BalRs 4694.33.,expense
"Your salary of INR 35135.38 has been credited to A/c XXXX25 on 04th May 2024, 12:00 AM via RTGS from Stevens, Lopez and Becker. Current Balance: INR 7,552.12.",income
"INR 250.51 credited to A/c XXXX86 on 08th May 2024, 12:00 AM via RTGS from Lozano-Daniels. Current Balance: INR 5,833.43.",income
"INR 149.36 credited to A/c XXXX24 on 05th May 2024, 12:00 AM via UPI from Castillo, Ruiz and Fry. Current Balance: INR 5,145.47.",income
9631.26 Debited ATM Card Maint Charge GST in your Ac XX5707 on 2024-05-03. .Avl BalRs 3759.57.,expense
"Rs.1325.08 Credited to SB-xxx2741 AcBal:3015.11 CLRBal: 13,110.68 [935643] Michael Spur on 08th May 2024, 12:00 AM. Young, Butler and Peters.",income
UPI -VPA +1-300-432-3321@paytm linked to Bank a/c XX9421 debited Rs.3368.34 and credited to EOJE21788399754624.ifsc.npci -Ref 522195666000,expense
"Dear Customer, INR 675.26 has been credited to A/c XXXX65 on 05th May 2024, 12:00 AM, 02:12 PM via IMPS from Foster, Long and Ward. Current Balance: INR 7,304.19.",income
"Your salary of INR 47888.79 has been credited to A/c XXXX76 on 07th May 2024, 12:00 AM via RTGS from Ortiz-Shepard. Current Balance: INR 8,169.40.",income
"Rs.1052.21 Credited to SB-xxx2784 AcBal:1565.16 CLRBal: 15,522.14 [131890] Jasmine Valley on 11th May 2024, 12:00 AM. Gordon-Dalton.",income
VPA 279-877-1242x354@paytm linked to HDFC a/c XX4509 debited Rs.2004.88 and credited to UAUM90662962365780.ifsc.npci -Ref 653367682065,expense
6670.62 Debited ATM Card Maint Charge GST in your Ac XX1143 on 2024-04-08. .Avl BalRs 3845.31.,expense
"Dear Customer, INR 355.29 has been credited to A/c XXXX14 on 08th May 2024, 12:00 AM, 03:43 AM via IMPS from Boyd, Boyd and Salas. Current Balance: INR 5,790.71.",income
UPI -VPA 877.628.0630x194@paytm linked to Bank a/c XX2573 debited Rs.4005.13 and credited to VMMT98131399548296.ifsc.npci -Ref 766420722845,expense
"Dear Customer, INR 342.42 has been credited to A/c XXXX65 on 03th May 2024, 12:00 AM, 10:03 PM via IMPS from Lane, Anderson and Ho. Current Balance: INR 2,109.33.",income
"Sent Rs.3603.79 from HDFC Bank AC X8066 to paytm5210657@paytm on 2024-01-21.UPI Ref 161900617478. Not you, https://campbell.com/",expense
UPI -VPA 540.633.3280x2615@paytm linked to HDFC a/c XX4480 debited Rs.8658.19 and credited to GB42MVCX22057808930290.ifsc.npci -Ref 732168249357,expense
2314.81 Debited ATM Card Maint Charge GST in your Ac XX1745 on 2024-02-25. .Avl BalRs 525.28.,expense
UPI -VPA 475-805-1297x6645@paytm linked to HDFC a/c XX7451 debited Rs.1825.33 and credited to GB58MRUQ42345552135571.ifsc.npci -Ref 179257622975,expense
"INR 225.48 credited to A/c XXXX42 on 05th May 2024, 12:00 AM via RTGS from George and Sons. Current Balance: INR 1,676.63.",income
"Sent Rs.286.17 from Axis Bank AC X3971 to phonepe4777682@paytm on 2024-02-14.UPI Ref 865520915458. Not you, https://www.coleman.org/",expense
"INR 3446.43 credited to A/c XXXX18 on 02th May 2024, 12:00 AM via RTGS from Charles-Williams. Current Balance: INR 4,983.42.",income
1165.86 Debited ATM Card Maint Charge GST in your Ac XX5517 on 2024-03-09. .Avl BalRs 3699.91.,expense
VPA 613-272-2354x324@paytm linked to HDFC a/c XX6356 debited Rs.1660.04 and credited to YWYN99809227992916.ifsc.npci -Ref 748290483010,expense
"Your salary of INR 45925.46 has been credited to A/c XXXX36 on 05th May 2024, 12:00 AM via RTGS from Martinez PLC. Current Balance: INR 1,657.26.",income
"INR 407.80 credited to A/c XXXX85 on 04th May 2024, 12:00 AM via RTGS from Aguilar Group. Current Balance: INR 3,711.19.",income
"Sent Rs.5322.85 from SBI Bank AC X4512 to googlepay8298384@paytm on 2024-02-06.UPI Ref 254218673255. Not you, https://www.hampton.net/",expense
"Rs.2729.67 Credited to SB-xxx7798 AcBal:2254.30 CLRBal: 10,510.43 [775351] Walker Stravenue on 10th May 2024, 12:00 AM. Reilly, Smith and Henry.",income
"Your salary of INR 10243.68 has been credited to A/c XXXX93 on 01th May 2024, 12:00 AM via UPI from Sutton-Berg. Current Balance: INR 9,693.24.",income
"INR 3855.91 credited to A/c XXXX78 on 01th May 2024, 12:00 AM via IMPS from Hamilton PLC. Current Balance: INR 7,445.68.",income
"Sent Rs.5886.96 from SBI Bank AC X4341 to googlepay2235025@paytm on 2024-02-29.UPI Ref 522128457475. Not you, https://www.hill.org/",expense
VPA (318)655-6233x94221@paytm linked to Bank a/c XX1630 debited Rs.2231.91 and credited to GB11AARW13516782275152.ifsc.npci -Ref 103557661417,expense
VPA 526.664.8484x1469@paytm linked to ICICI a/c XX9264 debited Rs.7850.15 and credited to GB73FDSS90462950659951.ifsc.npci -Ref 813260436280,expense
"Dear Customer, INR 777.87 has been credited to A/c XXXX85 on 08th May 2024, 12:00 AM, 02:20 PM via IMPS from Howell-Daniel. Current Balance: INR 7,425.63.",income
"Sent Rs.8630.29 from Axis Bank AC X6362 to paytm9897938@paytm on 2024-03-11.UPI Ref 272780402678. Not you, https://www.williams-vang.info/",expense
1274.33 Debited ATM Card Maint Charge GST in your Ac XX9377 on 2024-01-24. .Avl BalRs 8450.31.,expense
VPA (514)848-4282x6128@paytm linked to Bank a/c XX1008 debited Rs.7493.21 and credited to PUMR26709946701990.ifsc.npci -Ref 633266834692,expense
VPA 717.230.4020x579@paytm linked to HDFC a/c XX4267 debited Rs.6951.46 and credited to GB82NLCZ51521517364714.ifsc.npci -Ref 119226091200,expense
UPI -VPA +1-790-638-6049x4653@paytm linked to SBI a/c XX1537 debited Rs.3138.45 and credited to OFGP62890525239632.ifsc.npci -Ref 793193910276,expense
VPA +1-409-890-7451x2986@paytm linked to ICICI a/c XX1374 debited Rs.8420.93 and credited to VBIJ57862786015838.ifsc.npci -Ref 638089153782,expense
"Rs.4550.86 Credited to SB-xxx4064 AcBal:1389.36 CLRBal: 16,706.94 [887285] Mack Fall on 12th May 2024, 12:00 AM. Preston Group.",income
UPI -VPA (952)792-7983@paytm linked to HDFC a/c XX4394 debited Rs.4553.31 and credited to QZIH30207987952844.ifsc.npci -Ref 215677812711,expense
"Sent Rs.8960.83 from SBI Bank AC X2424 to googlepay9265521@paytm on 2024-01-28.UPI Ref 933809038639. Not you, http://www.long-perry.com/",expense
"Sent Rs.9775.84 from HDFC Bank AC X5332 to paytm4784106@paytm on 2024-04-18.UPI Ref 979641004280. Not you, https://williams.com/",expense
"Your salary of INR 16423.10 has been credited to A/c XXXX56 on 07th May 2024, 12:00 AM via RTGS from Brown, Todd and Brown. Current Balance: INR 5,710.68.",income
"Your salary of INR 29930.48 has been credited to A/c XXXX17 on 05th May 2024, 12:00 AM via IMPS from Adams and Sons. Current Balance: INR 9,775.63.",income
1233.90 Debited ATM Card Maint Charge GST in your Ac XX4588 on 2024-04-26. .Avl BalRs 3301.11.,expense
VPA 285.382.4763x1893@paytm linked to HDFC a/c XX6427 debited Rs.1219.20 and credited to GB39WYPA00271504590061.ifsc.npci -Ref 855287172852,expense
VPA 201-468-6273x8520@paytm linked to ICICI a/c XX8850 debited Rs.8433.97 and credited to YENS46672758983378.ifsc.npci -Ref 157644930172,expense
UPI -VPA (486)494-1484x636@paytm linked to HDFC a/c XX5275 debited Rs.729.28 and credited to DQUN96043154289467.ifsc.npci -Ref 113210726091,expense
"Rs.1681.58 Credited to SB-xxx5534 AcBal:4397.04 CLRBal: 13,967.49 [843657] Victor Ville on 12th May 2024, 12:00 AM. Gomez-Smith.",income
"INR 4790.25 credited to A/c XXXX17 on 02th May 2024, 12:00 AM via RTGS from Russell and Sons. Current Balance: INR 6,166.53.",income
"INR 2479.91 credited to A/c XXXX90 on 06th May 2024, 12:00 AM via UPI from Benton-Schmidt. Current Balance: INR 9,443.28.",income
858.42 Debited ATM Card Maint Charge GST in your Ac XX1740 on 2024-05-06. .Avl BalRs 5678.54.,expense
6785.21 Debited ATM Card Maint Charge GST in your Ac XX2129 on 2024-04-07. .Avl BalRs 6121.24.,expense
"Dear Customer, INR 895.87 has been credited to A/c XXXX14 on 04th May 2024, 12:00 AM, 11:47 AM via IMPS from Garcia, Sampson and Kim. Current Balance: INR 6,078.54.",income
VPA 551.445.3070x5568@paytm linked to SBI a/c XX5365 debited Rs.2423.39 and credited to VXBN26345862714529.ifsc.npci -Ref 774969617926,expense
7681.69 Debited ATM Card Maint Charge GST in your Ac XX3569 on 2024-03-25. .Avl BalRs 287.82.,expense
"INR 999.61 credited to A/c XXXX40 on 11th May 2024, 12:00 AM via UPI from Grant Inc. Current Balance: INR 4,218.66.",income
7970.45 Debited ATM Card Maint Charge GST in your Ac XX3194 on 2024-02-15. .Avl BalRs 4930.20.,expense
"Your salary of INR 41499.86 has been credited to A/c XXXX56 on 10th May 2024, 12:00 AM via UPI from Christensen, Schmidt and Watts. Current Balance: INR 6,521.03.",income
"Sent Rs.5546.98 from Kotak Bank AC X6275 to phonepe8471830@paytm on 2024-05-02.UPI Ref 375986200003. Not you, https://morgan.com/",expense
"Sent Rs.6818.79 from Axis Bank AC X3311 to paytm5576370@paytm on 2024-03-23.UPI Ref 972968984913. Not you, http://www.mccarthy-fernandez.info/",expense
UPI -VPA (304)869-2709@paytm linked to HDFC a/c XX8819 debited Rs.9432.99 and credited to LKPO12393357410192.ifsc.npci -Ref 518839689749,expense
"Your salary of INR 42928.73 has been credited to A/c XXXX80 on 06th May 2024, 12:00 AM via UPI from Scott, Mcconnell and Warren. Current Balance: INR 3,117.38.",income
236.21 Debited ATM Card Maint Charge GST in your Ac XX8099 on 2024-03-26. .Avl BalRs 1966.30.,expense
"Your salary of INR 30532.03 has been credited to A/c XXXX64 on 04th May 2024, 12:00 AM via IMPS from Goodwin PLC. Current Balance: INR 1,336.27.",income
UPI -VPA +1-569-465-3107x977@paytm linked to HDFC a/c XX9797 debited Rs.1971.24 and credited to DYQK26236639534892.ifsc.npci -Ref 566251441715,expense
UPI -VPA +1-292-793-8215@paytm linked to Bank a/c XX3198 debited Rs.8284.74 and credited to GB39DGEF90909731250164.ifsc.npci -Ref 509000541059,expense
"INR 294.94 credited to A/c XXXX26 on 02th May 2024, 12:00 AM via RTGS from Sanchez-Hughes. Current Balance: INR 2,304.65.",income
VPA 4154936128@paytm linked to Bank a/c XX1972 debited Rs.3325.62 and credited to PTWI21608426635668.ifsc.npci -Ref 304920156897,expense
248.47 Debited ATM Card Maint Charge GST in your Ac XX7144 on 2024-04-19. .Avl BalRs 2355.07.,expense
2257.38 Debited ATM Card Maint Charge GST in your Ac XX6796 on 2024-02-25. .Avl BalRs 7843.94.,expense
"Sent Rs.689.76 from Axis Bank AC X8729 to paytm3966967@paytm on 2024-05-09.UPI Ref 871822428247. Not you, http://www.david.com/",expense
"Sent Rs.6520.98 from Kotak Bank AC X2380 to googlepay3881941@paytm on 2024-03-02.UPI Ref 924558424750. Not you, http://lawson.com/",expense
"Dear Customer, INR 484.66 has been credited to A/c XXXX26 on 12th May 2024, 12:00 AM, 10:36 AM via IMPS from Hernandez, Cooper and Watson. Current Balance: INR 6,287.05.",income
"Dear Customer, INR 419.93 has been credited to A/c XXXX58 on 01th May 2024, 12:00 AM, 05:17 AM via IMPS from Faulkner-Jackson. Current Balance: INR 4,838.24.",income
VPA 671-802-4978@paytm linked to ICICI a/c XX1780 debited Rs.3769.58 and credited to GB75GBJG85470778747801.ifsc.npci -Ref 586199887302,expense
8670.73 Debited ATM Card Maint Charge GST in your Ac XX1321 on 2024-04-14. .Avl BalRs 5038.32.,expense
"Dear Customer, INR 622.45 has been credited to A/c XXXX55 on 11th May 2024, 12:00 AM, 10:10 AM via IMPS from Wright PLC. Current Balance: INR 6,220.16.",income
"Your salary of INR 44491.00 has been credited to A/c XXXX65 on 04th May 2024, 12:00 AM via RTGS from Carpenter, Alexander and White. Current Balance: INR 2,142.71.",income
"Sent Rs.5458.57 from SBI Bank AC X3421 to googlepay3130220@paytm on 2024-03-17.UPI Ref 499516432162. Not you, https://matthews-juarez.info/",expense
"Your salary of INR 37538.50 has been credited to A/c XXXX72 on 07th May 2024, 12:00 AM via IMPS from Williamson, Johnson and Sosa. Current Balance: INR 7,423.16.",income
UPI -VPA +1-230-718-1747x287@paytm linked to Bank a/c XX8902 debited Rs.9493.27 and credited to GB49RDTY62896072459569.ifsc.npci -Ref 684090172002,expense
5661.16 Debited ATM Card Maint Charge GST in your Ac XX7238 on 2024-04-02. .Avl BalRs 8810.53.,expense
"Sent Rs.6542.75 from Kotak Bank AC X1185 to googlepay8808829@paytm on 2024-04-01.UPI Ref 697078390608. Not you, https://www.garner.com/",expense
"Sent Rs.2349.04 from HDFC Bank AC X5367 to googlepay1118597@paytm on 2024-04-16.UPI Ref 126107010134. Not you, http://www.mejia-schwartz.net/",expense
"Rs.2355.97 Credited to SB-xxx2396 AcBal:1707.18 CLRBal: 14,804.91 [522235] April Greens on 07th May 2024, 12:00 AM. Thompson, Le and Richardson.",income
"Sent Rs.6000.25 from Axis Bank AC X2919 to phonepe6794336@paytm on 2024-04-05.UPI Ref 956757678975. Not you, http://lynch-hart.com/",expense
2700.25 Debited ATM Card Maint Charge GST in your Ac XX9754 on 2024-01-08. .Avl BalRs 8500.63.,expense
"INR 3421.30 credited to A/c XXXX93 on 01th May 2024, 12:00 AM via IMPS from Dominguez, Love and Wilkins. Current Balance: INR 3,853.16.",income
"Rs.4695.78 Credited to SB-xxx1469 AcBal:3997.97 CLRBal: 18,235.78 [60972] Coleman Ports on 06th May 2024, 12:00 AM. Mills-Perry.",income
"Dear Customer, INR 589.91 has been credited to A/c XXXX15 on 01th May 2024, 12:00 AM, 11:53 AM via IMPS from Ware, Miller and Wright. Current Balance: INR 6,884.03.",income
VPA +1-750-975-5174x5964@paytm linked to HDFC a/c XX8071 debited Rs.2616.30 and credited to LKSM73083606250266.ifsc.npci -Ref 296739513171,expense
"Sent Rs.7367.56 from Kotak Bank AC X1717 to googlepay9846752@paytm on 2024-04-06.UPI Ref 215253802674. Not you, https://anderson.com/",expense
4058.23 Debited ATM Card Maint Charge GST in your Ac XX6108 on 2024-01-13. .Avl BalRs 6143.50.,expense
"INR 154.62 credited to A/c XXXX49 on 06th May 2024, 12:00 AM via RTGS from Lee, Ramos and Wilson. Current Balance: INR 7,766.55.",income
"INR 2507.61 credited to A/c XXXX84 on 01th May 2024, 12:00 AM via UPI from Sullivan Group. Current Balance: INR 7,894.16.",income
"INR 2828.54 credited to A/c XXXX77 on 10th May 2024, 12:00 AM via IMPS from Navarro, Potter and Phillips. Current Balance: INR 4,423.49.",income
VPA +1-251-579-7266@paytm linked to ICICI a/c XX9195 debited Rs.9608.53 and credited to GB19ZCJS54991297030182.ifsc.npci -Ref 849932519760,expense
"INR 370.47 credited to A/c XXXX62 on 11th May 2024, 12:00 AM via RTGS from Valencia LLC. Current Balance: INR 1,090.30.",income
"INR 76.69 credited to A/c XXXX74 on 09th May 2024, 12:00 AM via RTGS from Flores-Scott. Current Balance: INR 4,981.25.",income
VPA 775.746.6996@paytm linked to ICICI a/c XX3098 debited Rs.5403.54 and credited to GB07EWWR85599439586944.ifsc.npci -Ref 267915986336,expense
UPI -VPA 441.794.6518x64166@paytm linked to ICICI a/c XX4047 debited Rs.8349.28 and credited to GB24IAOG62988442758907.ifsc.npci -Ref 336046927786,expense
8394.57 Debited ATM Card Maint Charge GST in your Ac XX5211 on 2024-04-02. .Avl BalRs 2174.74.,expense
UPI -VPA 001-950-534-7208x9122@paytm linked to Bank a/c XX3960 debited Rs.2937.63 and credited to GB69YAZF45717076320928.ifsc.npci -Ref 987468913059,expense
"INR 13.66 credited to A/c XXXX19 on 08th May 2024, 12:00 AM via RTGS from Walters LLC. Current Balance: INR 5,920.39.",income
5807.23 Debited ATM Card Maint Charge GST in your Ac XX9651 on 2024-03-14. .Avl BalRs 2868.64.,expense
VPA +1-536-863-8571x0048@paytm linked to HDFC a/c XX3142 debited Rs.8401.41 and credited to GB05RDBW44069386023507.ifsc.npci -Ref 613517319616,expense
"INR 353.82 credited to A/c XXXX26 on 05th May 2024, 12:00 AM via RTGS from Frazier, Patel and Myers. Current Balance: INR 5,002.59.",income
"INR 21.55 credited to A/c XXXX85 on 11th May 2024, 12:00 AM via RTGS from Graves-Nelson. Current Balance: INR 4,232.82.",income
UPI -VPA 001-467-367-1400x85884@paytm linked to ICICI a/c XX5715 debited Rs.4522.37 and credited to THVE79764345343442.ifsc.npci -Ref 340351503445,expense
"Dear Customer, INR 314.60 has been credited to A/c XXXX21 on 10th May 2024, 12:00 AM, 05:01 AM via IMPS from Sims-Gonzalez. Current Balance: INR 3,050.39.",income
3221.65 Debited ATM Card Maint Charge GST in your Ac XX8433 on 2024-03-04. .Avl BalRs 4124.15.,expense
"INR 158.05 credited to A/c XXXX89 on 06th May 2024, 12:00 AM via RTGS from Adams-Brooks. Current Balance: INR 3,500.87.",income
4777.18 Debited ATM Card Maint Charge GST in your Ac XX4553 on 2024-02-09. .Avl BalRs 9057.62.,expense
7893.95 Debited ATM Card Maint Charge GST in your Ac XX2591 on 2024-02-21. .Avl BalRs 6560.20.,expense
